county_geoid,total_rows,match_rows,tie_rows,resolved_rows,strict_match_rate_pct,tract_resolution_rate_pct,state_abbrev
40105,3,3,0,3,100.0,100.0,OK
40107,2,2,0,2,100.0,100.0,OK
40109,4453,4444,9,4445,99.8,99.82,OK
40111,22,21,1,21,95.45,95.45,OK
40113,31,31,0,31,100.0,100.0,OK
40115,8,8,0,8,100.0,100.0,OK
40117,4,4,0,4,100.0,100.0,OK
40119,157,156,1,156,99.36,99.36,OK
40121,25,25,0,25,100.0,100.0,OK
40123,42,38,4,40,90.48,95.24,OK
40125,108,107,1,107,99.07,99.07,OK
40131,149,145,4,147,97.32,98.66,OK
40133,7,7,0,7,100.0,100.0,OK
40135,17,17,0,17,100.0,100.0,OK
40137,51,51,0,51,100.0,100.0,OK
40139,4,4,0,4,100.0,100.0,OK
40141,3,3,0,3,100.0,100.0,OK
40143,3196,3179,17,3196,99.47,100.0,OK
40145,61,59,2,61,96.72,100.0,OK
40147,118,114,4,118,96.61,100.0,OK
40149,3,3,0,3,100.0,100.0,OK
40153,7,7,0,7,100.0,100.0,OK
41001,8,8,0,8,100.0,100.0,OR
41003,200,200,0,200,100.0,100.0,OR
41005,1410,1406,4,1409,99.72,99.93,OR
41007,106,105,1,106,99.06,100.0,OR
41009,70,68,2,70,97.14,100.0,OR
41011,46,46,0,46,100.0,100.0,OR
41013,54,54,0,54,100.0,100.0,OR
41015,12,12,0,12,100.0,100.0,OR
41017,1079,1062,17,1064,98.42,98.61,OR
41019,230,229,1,230,99.57,100.0,OR
41021,2,2,0,2,100.0,100.0,OR
41023,5,5,0,5,100.0,100.0,OR
41025,4,4,0,4,100.0,100.0,OR
41027,31,31,0,31,100.0,100.0,OR
41029,527,526,1,526,99.81,99.81,OR
41031,27,27,0,27,100.0,100.0,OR
41033,86,86,0,86,100.0,100.0,OR
41035,82,82,0,82,100.0,100.0,OR
41037,1,1,0,1,100.0,100.0,OR
41039,1322,1310,12,1316,99.09,99.55,OR
41041,53,52,1,53,98.11,100.0,OR
41043,315,310,5,314,98.41,99.68,OR
41045,62,61,1,62,98.39,100.0,OR
41047,1237,1222,15,1235,98.79,99.84,OR
41049,6,5,1,6,83.33,100.0,OR
41051,4621,4613,8,4619,99.83,99.96,OR
41053,121,118,3,120,97.52,99.17,OR
41055,2,2,0,2,100.0,100.0,OR
41057,25,25,0,25,100.0,100.0,OR
41059,46,45,1,46,97.83,100.0,OR
41061,22,22,0,22,100.0,100.0,OR
41063,2,2,0,2,100.0,100.0,OR
41065,33,33,0,33,100.0,100.0,OR
41067,2093,2090,3,2092,99.86,99.95,OR
41071,234,229,5,232,97.86,99.15,OR
42001,120,120,0,120,100.0,100.0,PA
42003,5137,5109,28,5119,99.45,99.65,PA
42005,55,54,1,55,98.18,100.0,PA
42007,400,400,0,400,100.0,100.0,PA
42009,31,31,0,31,100.0,100.0,PA
42011,805,796,9,802,98.88,99.63,PA
42013,197,197,0,197,100.0,100.0,PA
42015,18,18,0,18,100.0,100.0,PA
42017,2319,2301,18,2313,99.22,99.74,PA
42019,554,547,7,554,98.74,100.0,PA
42021,179,178,1,178,99.44,99.44,PA
42023,2,2,0,2,100.0,100.0,PA
42025,41,38,3,39,92.68,95.12,PA
42027,298,297,1,298,99.66,100.0,PA
42029,2109,2091,18,2104,99.15,99.76,PA
42031,30,28,2,30,93.33,100.0,PA
42033,91,87,4,90,95.6,98.9,PA
42035,40,40,0,40,100.0,100.0,PA
42037,76,76,0,76,100.0,100.0,PA
42039,77,77,0,77,100.0,100.0,PA
42041,930,928,2,930,99.78,100.0,PA
42043,1028,1026,2,1026,99.81,99.81,PA
42045,1658,1650,8,1657,99.52,99.94,PA
42047,32,31,1,32,96.88,100.0,PA
42049,575,575,0,575,100.0,100.0,PA
42051,178,173,5,175,97.19,98.31,PA
42053,2,2,0,2,100.0,100.0,PA
42055,204,203,1,203,99.51,99.51,PA
42057,7,7,0,7,100.0,100.0,PA
42059,24,22,2,24,91.67,100.0,PA
42061,21,21,0,21,100.0,100.0,PA
42063,112,110,2,110,98.21,98.21,PA
42065,36,35,1,35,97.22,97.22,PA
42067,10,10,0,10,100.0,100.0,PA
42069,405,404,1,405,99.75,100.0,PA
42071,1361,1359,2,1361,99.85,100.0,PA
42073,193,192,1,193,99.48,100.0,PA
42075,218,211,7,212,96.79,97.25,PA
42077,1129,1128,1,1129,99.91,100.0,PA
42079,515,509,6,510,98.83,99.03,PA
42081,241,232,9,240,96.27,99.59,PA
42083,27,27,0,27,100.0,100.0,PA
42085,208,207,1,208,99.52,100.0,PA
42087,41,39,2,40,95.12,97.56,PA
42089,271,258,13,271,95.2,100.0,PA
42091,3636,3616,20,3625,99.45,99.7,PA
42093,18,18,0,18,100.0,100.0,PA
42095,709,706,3,709,99.58,100.0,PA
42097,70,70,0,70,100.0,100.0,PA
42099,21,21,0,21,100.0,100.0,PA
42101,4690,4689,1,4689,99.98,99.98,PA
42103,36,35,1,35,97.22,97.22,PA
42105,6,6,0,6,100.0,100.0,PA
42107,107,105,2,107,98.13,100.0,PA
42109,38,38,0,38,100.0,100.0,PA
42111,64,64,0,64,100.0,100.0,PA
42113,2,2,0,2,100.0,100.0,PA
42115,11,11,0,11,100.0,100.0,PA
42117,61,61,0,61,100.0,100.0,PA
42119,51,50,1,51,98.04,100.0,PA
42121,47,47,0,47,100.0,100.0,PA
42123,25,24,1,24,96.0,96.0,PA
42125,607,597,10,606,98.35,99.84,PA
42127,21,21,0,21,100.0,100.0,PA
42129,829,826,3,827,99.64,99.76,PA
42131,3,3,0,3,100.0,100.0,PA
42133,1177,1165,12,1175,98.98,99.83,PA
44001,166,166,0,166,100.0,100.0,RI
44003,713,713,0,713,100.0,100.0,RI
44005,354,353,1,353,99.72,99.72,RI
44007,2096,2088,8,2088,99.62,99.62,RI
44009,338,334,4,338,98.82,100.0,RI
45001,30,29,1,29,96.67,96.67,SC
45003,310,294,16,296,94.84,95.48,SC
45005,2,2,0,2,100.0,100.0,SC
45007,647,636,11,645,98.3,99.69,SC
45009,15,15,0,15,100.0,100.0,SC
45011,22,21,1,22,95.45,100.0,SC
45013,650,640,10,649,98.46,99.85,SC
45015,577,572,5,576,99.13,99.83,SC
45017,14,14,0,14,100.0,100.0,SC
45019,2637,2621,16,2637,99.39,100.0,SC
45021,137,137,0,137,100.0,100.0,SC
45023,49,49,0,49,100.0,100.0,SC
45025,46,42,4,45,91.3,97.83,SC
45027,42,40,2,41,95.24,97.62,SC
45029,77,77,0,77,100.0,100.0,SC
45031,94,92,2,94,97.87,100.0,SC
45033,30,30,0,30,100.0,100.0,SC
45035,412,411,1,412,99.76,100.0,SC
45037,23,23,0,23,100.0,100.0,SC
45039,20,20,0,20,100.0,100.0,SC
45041,473,473,0,473,100.0,100.0,SC
45043,228,228,0,228,100.0,100.0,SC
45045,2832,2821,11,2829,99.61,99.89,SC
45047,115,113,2,113,98.26,98.26,SC
45049,10,10,0,10,100.0,100.0,SC
45051,1347,1332,15,1335,98.89,99.11,SC
45053,106,105,1,106,99.06,100.0,SC
45055,130,130,0,130,100.0,100.0,SC
45057,161,161,0,161,100.0,100.0,SC
45059,90,87,3,88,96.67,97.78,SC
45061,14,14,0,14,100.0,100.0,SC
45063,1137,1131,6,1137,99.47,100.0,SC
45065,6,6,0,6,100.0,100.0,SC
45067,41,41,0,41,100.0,100.0,SC
