LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids,source_batch,zip_original,zip_geocoder,zip_geocoder_tie_list,zip_geocoder_all,zip_geocoder_all_str,tie_candidate_count,tie_zip_candidate_count,match_type,matching_output_count,candidate_output_count,zip_match_detail,flag,flag_detail,zipcode_match_status,zipcode_match_bool,final_lat,final_long
30040118.0,129628.0,,Focus Enterprises,"Professional, Scientific, and Technical Services",,"Washington, DC",CBD,1229 19th St NW,,Washington,District of Columbia,20036.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"1229 19TH ST NW, WASHINGTON, DC 20036, UNITED STATES",Match,"1229 19TH ST NW, WASHINGTON, DC, 20036",38.906554348687,-77.043374968283,11.0,1.0,10700.0,2010.0,110010107002010.0,,,,,011,20036,20036,[],['20036'],20036,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.906554348687,-77.043374968283
120249211.0,5358684.0,,,,,"Washington, DC",Uptown,7414 Georgia Ave NW,,Washington,District of Columbia,20012.0,,DC,United States,False,Office,Direct - Landlord,CoStar Research,"7414 GEORGIA AVE NW, WASHINGTON, DC 20012, UNITED STATES",Match,"7414 GEORGIA AVE NW, WASHINGTON, DC, 20012",38.979690341699,-77.026542384446,11.0,1.0,1600.0,2006.0,110010016002006.0,,,,,011,20012,20012,[],['20012'],20012,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.979690341699,-77.026542384446
119815171.0,9548538.0,,Nobu,Retailer,Dine-In Restaurants,"Washington, DC",West End,2501 M St NW,,Washington,District of Columbia,20037.0,,DC,United States,False,Retail,Direct - Press Release,CoStar Research,"2501 M ST NW, WASHINGTON, DC 20037, UNITED STATES",Match,"2501 M ST NW, WASHINGTON, DC, 20037",38.905312509345,-77.053368826826,11.0,1.0,5503.0,2002.0,110010055032002.0,,,,,011,20037,20037,[],['20037'],20037,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.905312509345,-77.053368826826
119749211.0,8888329.0,,RPM Italian,Accommodation and Food Services,Dine-In Restaurants,"Washington, DC",East End,601 Massachusetts Ave NW,L100,Washington,District of Columbia,20001.0,,DC,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"601 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001, UNITED STATES",Match,"601 MASSACHUSETTS AVE NW, WASHINGTON, DC, 20001",38.90154286483,-77.019952466507,11.0,1.0,4702.0,4002.0,110010047024002.0,,,,,011,20001,20001,[],['20001'],20001,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.90154286483,-77.019952466507
119724211.0,4411969.0,,Bourbon Coffee,Accommodation and Food Services,Snack and Nonalcoholic Beverage Bars,"Washington, DC",Capitol Hill,621 Pennsylvania Ave SE,GRND,Washington,District of Columbia,20003.0,,DC,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"621 PENNSYLVANIA AVE SE, WASHINGTON, DC 20003, UNITED STATES",Match,"621 PENNSYLVANIA AVE SE, WASHINGTON, DC, 20003",38.885248001006,-76.997984561984,11.0,1.0,6500.0,1017.0,110010065001017.0,,,,,011,20003,20003,[],['20003'],20003,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.885248001006,-76.997984561984
119957291.0,6407356.0,,Georgetown Olive Oil Company,Manufacturing,Fats and Oils Refining and Blending,"Washington, DC",Georgetown,1524 Wisconsin Ave NW,,Washington,District of Columbia,20007.0,,DC,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"1524 WISCONSIN AVE NW, WASHINGTON, DC 20007, UNITED STATES",Match,"1524 WISCONSIN AVE NW, WASHINGTON, DC, 20007",38.909383365923,-77.064466784186,11.0,1.0,202.0,2005.0,110010002022005.0,,,,,011,20007,20007,[],['20007'],20007,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.909383365923,-77.064466784186
119772151.0,8902539.0,,Circa At Navy Yard,Accommodation and Food Services,Dine-In Restaurants,"Washington, DC",Capitol Riverfront,99 M St SE,100,Washington,District of Columbia,20003.0,,DC,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"99 M ST SE, WASHINGTON, DC 20003, UNITED STATES",Match,"99 M ST SE, WASHINGTON, DC, 20003",38.876424922006,-77.005947813535,11.0,1.0,7201.0,1000.0,110010072011000.0,,,,,011,20003,20003,[],['20003'],20003,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.876424922006,-77.005947813535
119992851.0,5592027.0,The Columbia Residences,Urban Gym,"Arts, Entertainment, and Recreation",Fitness and Recreational Sports Centers,"Washington, DC",West End,2425 L St NW,200,Washington,District of Columbia,20037.0,,DC,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"2425 L ST NW, WASHINGTON, DC 20037, UNITED STATES",Match,"2425 L ST NW, WASHINGTON, DC, 20037",38.903800509596,-77.051922414273,11.0,1.0,5503.0,1003.0,110010055031003.0,,,,,011,20037,20037,[],['20037'],20037,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.903800509596,-77.051922414273
120357441.0,7368514.0,,Community of Hope,Services,,"Washington, DC",Southeast,3101 Martin Luther King Jr Ave SE,,Washington,District of Columbia,20032.0,,DC,United States,False,Office/Retail,Third Party - Landlord Rep,CoStar Research,"3101 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032, UNITED STATES",Match,"3101 M L KING JR AVE SE, WASHINGTON, DC, 20032",38.843957998223,-76.998561331425,11.0,1.0,10400.0,1023.0,110010104001023.0,,,,,011,20032,20032,[],['20032'],20032,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.843957998223,-76.998561331425
120007801.0,1342745.0,,,,,"Washington, DC",Northeast,2709-2713 12th St NE,,Washington,District of Columbia,20018.0,,DC,United States,False,Retail,Direct - Landlord,CoStar Research,"2709 12TH ST NE, WASHINGTON, DC 20018, UNITED STATES",Match,"2709 12TH ST NE, WASHINGTON, DC, 20018",38.924541699603,-76.9902843738,11.0,1.0,9302.0,1009.0,110010093021009.0,,,,,011,20018,20018,[],['20018'],20018,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.924541699603,-76.9902843738
119616451.0,9169193.0,The Bentley,Lazy Boy Furniture,Retailer,,"Washington, DC",Logan Circle,1328 14th St NW,,Washington,District of Columbia,20005.0,,DC,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"1328 14TH ST NW, WASHINGTON, DC 20005, UNITED STATES",Match,"1328 14TH ST NW, WASHINGTON, DC, 20005",38.908071067207,-77.03202533587,11.0,1.0,5203.0,2002.0,110010052032002.0,,,,,011,20005,20005,[],['20005'],20005,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.908071067207,-77.03202533587
124434671.0,6227288.0,,Fare Well,Retailer,,"Washington, DC",Capitol Hill,406 H St NE,,Washington,District of Columbia,20002.0,,DC,United States,False,Retail,Third Party - Other,CoStar Research,"406 H ST NE, WASHINGTON, DC 20002, UNITED STATES",Match,"406 H ST NE, WASHINGTON, DC, 20002",38.90026350839,-77.000443313269,11.0,1.0,10602.0,3007.0,110010106023007.0,,,,,011,20002,20002,[],['20002'],20002,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.90026350839,-77.000443313269
119591091.0,130396.0,Moran Bldg,Bantam King,Accommodation and Food Services,Fast Food Restaurants,"Washington, DC",East End,700 5th St NW,,Washington,District of Columbia,20001.0,,DC,United States,False,Retail,Direct - Tenant,CoStar Research,"700 5TH ST NW, WASHINGTON, DC 20001, UNITED STATES",Match,"700 5TH ST NW, WASHINGTON, DC, 20001",38.898374273047,-77.019005836359,11.0,1.0,5801.0,2004.0,110010058012004.0,,,,,011,20001,20001,[],['20001'],20001,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.898374273047,-77.019005836359
119577601.0,9190202.0,Square 50,Squash on Fire,"Arts, Entertainment, and Recreation",Fitness and Recreational Sports Centers,"Washington, DC",West End,1211 23rd St NW,,Washington,District of Columbia,20037.0,,DC,United States,False,Retail,Third Party - Other,CoStar Research,"1211 23RD ST NW, WASHINGTON, DC 20037, UNITED STATES",Match,"1211 23RD ST NW, WASHINGTON, DC, 20037",38.905511666357,-77.050034515334,11.0,1.0,5501.0,1003.0,110010055011003.0,,,,,011,20037,20037,[],['20037'],20037,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.905511666357,-77.050034515334
