LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std
111995444.0,5856611.0,,,,,San Francisco,Mission/Potrero,475 S Van Ness Ave,,San Francisco,San Francisco,94103.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"475 S VAN NESS AVE, SAN FRANCISCO, CA 94103, UNITED STATES"
113833985.0,5857496.0,Laguna Salada Union School District,,,,San Francisco,Peninsula Coastline,930 Oddstad Blvd,,Pacifica,San Mateo,94044.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"930 ODDSTAD BLVD, PACIFICA, CA 94044, UNITED STATES"
110910853.0,5859652.0,,,,,San Francisco,Menlo Park,1610 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"1610 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
111552656.0,5859653.0,,Incell Dx Inc,"Professional, Scientific, and Technical Services","Research and Development in the Physical, Engineering, and Life Sciences",San Francisco,Menlo Park,1700 El Camino Real,,Menlo Park,San Mateo,94027.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"1700 EL CAMINO REAL, MENLO PARK, CA 94027, UNITED STATES"
114196783.0,5859656.0,,,,,San Francisco,Menlo Park,1295 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"1295 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
112151099.0,5862115.0,,Supinfo,Services,,San Francisco,Waterfront/North Beach,2728-2748 Hyde St,,San Francisco,San Francisco,94109.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"2728 HYDE ST, SAN FRANCISCO, CA 94109, UNITED STATES"
204402251.0,5862919.0,,la palomas,,,San Francisco,San Mateo,86-92 E 3rd Ave,,San Mateo,San Mateo,94401.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"86 E 3RD AVE, SAN MATEO, CA 94401, UNITED STATES"
165370041.0,5863977.0,,,,,San Francisco,Menlo Park,681 Oak Grove Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"681 OAK GROVE AVE, MENLO PARK, CA 94025, UNITED STATES"
111765170.0,5863984.0,,,,,San Francisco,Menlo Park,1259-1263 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"1259 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
111772913.0,5863986.0,,,,,San Francisco,Menlo Park,654-656 Santa Cruz Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"654 SANTA CRUZ AVE, MENLO PARK, CA 94025, UNITED STATES"
191687481.0,5864028.0,,The Airplane Spoon,,,San Francisco,Menlo Park,697 Menlo Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"697 MENLO AVE, MENLO PARK, CA 94025, UNITED STATES"
113636347.0,5865415.0,,"Traditionally Derby, Inc.",,,San Francisco,Menlo Park,860 Santa Cruz Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"860 SANTA CRUZ AVE, MENLO PARK, CA 94025, UNITED STATES"
189647881.0,5865416.0,,,,,San Francisco,Menlo Park,812-816 Santa Cruz Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"812 SANTA CRUZ AVE, MENLO PARK, CA 94025, UNITED STATES"
112436252.0,5865420.0,,L B Steak,Retailer,,San Francisco,Menlo Park,898 Santa Cruz Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"898 SANTA CRUZ AVE, MENLO PARK, CA 94025, UNITED STATES"
110910876.0,5865424.0,,Expressions Salon,Services,Beauty Salons,San Francisco,Menlo Park,859-883 Oak Grove Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"859 OAK GROVE AVE, MENLO PARK, CA 94025, UNITED STATES"
112594484.0,5865429.0,,El Dorado Ventures,"Professional, Scientific, and Technical Services",,San Francisco,Menlo Park,850 Oak Grove Ave,2nd Floor,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Tenant Rep,CoStar Research,"850 OAK GROVE AVE, MENLO PARK, CA 94025, UNITED STATES"
170736791.0,5866662.0,Duca & Handley Building,,,,San Francisco,Menlo Park,1050 Chestnut St,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"1050 CHESTNUT ST, MENLO PARK, CA 94025, UNITED STATES"
202099911.0,5866664.0,,,,,San Francisco,Menlo Park,719 Santa Cruz Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"719 SANTA CRUZ AVE, MENLO PARK, CA 94025, UNITED STATES"
113364193.0,5866666.0,,,,,San Francisco,Menlo Park,781-789 Santa Cruz Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"781 SANTA CRUZ AVE, MENLO PARK, CA 94025, UNITED STATES"
120717331.0,5868964.0,,,,,San Francisco,Jackson Square,463-473 Jackson St,,San Francisco,San Francisco,94111.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"463 JACKSON ST, SAN FRANCISCO, CA 94111, UNITED STATES"
125607081.0,5869010.0,Burlingame Plaza,,,,San Francisco,Burlingame,1811-1841 El Camino Real,,Burlingame,San Mateo,94010.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"1811 EL CAMINO REAL, BURLINGAME, CA 94010, UNITED STATES"
115250881.0,5870201.0,El Bethel Terrace,,,,San Francisco,Alamo Square,1099 Fillmore St,,San Francisco,San Francisco,94115.0,,CA,United States,False,Office/Retail,Third Party - Landlord Rep,CoStar Research,"1099 FILLMORE ST, SAN FRANCISCO, CA 94115, UNITED STATES"
110973098.0,5870848.0,,CDC Global Link Freight Forwarding,,,San Francisco,Burlingame,826 Cowan Rd,,Burlingame,San Mateo,94010.0,,CA,United States,False,Industrial,Third Party - Other,CoStar Research,"826 COWAN RD, BURLINGAME, CA 94010, UNITED STATES"
164195071.0,5871380.0,,,,,San Francisco,Menlo Park,989-995 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"989 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
113878481.0,5871394.0,,,,,San Francisco,Menlo Park,607-611 Menlo Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Direct - Landlord,CoStar Research,"607 MENLO AVE, MENLO PARK, CA 94025, UNITED STATES"
115810111.0,5874217.0,,,,,San Francisco,Menlo Park,650-660 Live Oak Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"650 LIVE OAK AVE, MENLO PARK, CA 94025, UNITED STATES"
113611660.0,5882212.0,,,,,San Francisco,Showplace Square,637 King St,,San Francisco,San Francisco,94107.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"637 KING ST, SAN FRANCISCO, CA 94107, UNITED STATES"
131411831.0,5883092.0,,U.S. Geological Survey,Public Administration,Administration of Air and Water Resource and Solid Waste Management Programs,San Francisco,Menlo Park,1020 O'Brien Dr,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office,Direct - Tenant,CoStar Research,"1020 OBRIEN DR, MENLO PARK, CA 94025, UNITED STATES"
117876221.0,5884178.0,,Gallardo's Mexican Restaurant,Retailer,,San Francisco,Mission/Potrero,1801-1807 Folsom St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"1801 FOLSOM ST, SAN FRANCISCO, CA 94103, UNITED STATES"
204088571.0,5884181.0,,,,,San Francisco,Mission/Potrero,3084 17th St,,San Francisco,San Francisco,94110.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"3084 17TH ST, SAN FRANCISCO, CA 94110, UNITED STATES"
111537145.0,5884195.0,,Maison Clothing,,,San Francisco,Mission/Potrero,74-76 14th St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Industrial,Third Party - Other,CoStar Research,"74 14TH ST, SAN FRANCISCO, CA 94103, UNITED STATES"
123274301.0,5884211.0,,,,,San Francisco,Mission/Potrero,64-66 14th St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"64 14TH ST, SAN FRANCISCO, CA 94103, UNITED STATES"
