LeaseCompId,PropertyId,PropertyName,full_address,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket
167100221.0,36156.0,,"445 Bush St, San Francisco, CA 94108, United States",445 Bush St,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square
162545361.0,36157.0,New Montgomery Tower,"33 New Montgomery St, San Francisco, CA 94105, United States",33 New Montgomery St,San Francisco,CA,94105.0,San Francisco,San Francisco,South Financial District
70221222.0,36158.0,115 Sansome St,"115 Sansome St, San Francisco, CA 94104, United States",115 Sansome St,San Francisco,CA,94104.0,San Francisco,San Francisco,Financial District
133318191.0,36159.0,Second Street Square,"501 2nd St, San Francisco, CA 94107, United States",501 2nd St,San Francisco,CA,94107.0,San Francisco,San Francisco,Rincon/South Beach
70087748.0,36160.0,,"110 Sutter St, San Francisco, CA 94104, United States",110 Sutter St,San Francisco,CA,94104.0,San Francisco,San Francisco,Financial District
204571941.0,36161.0,,"1033-1045 Market St, San Francisco, CA 94103, United States",1033-1045 Market St,San Francisco,CA,94103.0,San Francisco,San Francisco,MidMarket
70054428.0,36162.0,,"710 Market St, San Francisco, CA 94102, United States",710 Market St,San Francisco,CA,94102.0,San Francisco,San Francisco,Union Square
70017739.0,36163.0,Lululemon,"327-333 Grant Ave, San Francisco, CA 94108, United States",327-333 Grant Ave,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square
70225712.0,36164.0,,"50 Mendell St, San Francisco, CA 94124, United States",50 Mendell St,San Francisco,CA,94124.0,San Francisco,San Francisco,Bayview/Hunters Point
10617690.0,36165.0,,"1155 Mission St, San Francisco, CA 94103, United States",1155 Mission St,San Francisco,CA,94103.0,San Francisco,San Francisco,MidMarket
160687971.0,36167.0,Schroeder Bldg,"234-240 Front St, San Francisco, CA 94111, United States",234-240 Front St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
70434154.0,36168.0,,"930 Alabama St, San Francisco, CA 94110, United States",930 Alabama St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
110060542.0,36170.0,Bayview Bank,"4610 Mission St, San Francisco, CA 94112, United States",4610 Mission St,San Francisco,CA,94112.0,San Francisco,San Francisco,Southern City
11028496.0,36171.0,Los Portales Medical Center,"2480-2482 Mission St, San Francisco, CA 94110, United States",2480-2482 Mission St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
111180421.0,36178.0,,"4596 Mission St, San Francisco, CA 94112, United States",4596 Mission St,San Francisco,CA,94112.0,San Francisco,San Francisco,Southern City
70284729.0,36180.0,,"1145 Bush St, San Francisco, CA 94109, United States",1145 Bush St,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown
114212146.0,36185.0,,"2301-2323 Noriega St, San Francisco, CA 94122, United States",2301-2323 Noriega St,San Francisco,CA,94122.0,San Francisco,San Francisco,Southern City
10787803.0,36186.0,,"926 Taraval St, San Francisco, CA 94116, United States",926 Taraval St,San Francisco,CA,94116.0,San Francisco,San Francisco,Southern City
10721647.0,36188.0,,"1746-1750 Union St, San Francisco, CA 94123, United States",1746-1750 Union St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness
112081931.0,36868.0,Waterfront Plaza,"500 Airport Blvd, Burlingame, CA 94010, United States",500 Airport Blvd,Burlingame,CA,94010.0,San Mateo,San Francisco,Burlingame
123559801.0,36870.0,Building A,"350 Demeter St, East Palo Alto, CA 94303, United States",350 Demeter St,East Palo Alto,CA,94303.0,San Mateo,San Francisco,Menlo Park
111992434.0,36871.0,,"500 Allerton St, Redwood City, CA 94063, United States",500 Allerton St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
70210711.0,36874.0,,"112 S B St, San Mateo, CA 94401, United States",112 S B St,San Mateo,CA,94401.0,San Mateo,San Francisco,San Mateo
70385334.0,36877.0,,"92 E 21st Ave, San Mateo, CA 94403, United States",92 E 21st Ave,San Mateo,CA,94403.0,San Mateo,San Francisco,San Mateo
111253502.0,36878.0,,"400-410 Forbes Blvd, South San Francisco, CA 94080, United States",400-410 Forbes Blvd,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
