LeaseCompId,PropertyId,PropertyName,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids
11197498.0,640710.0,,40 Woodward St,San Francisco,CA,94103.0,San Francisco,San Francisco,Mission/Potrero,"40 WOODWARD ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"40 WOODWARD ST, SAN FRANCISCO, CA, 94103",37.769231079818,-122.420945796384,6.0,75.0,20101.0,2004.0,60750201012004.0,,,,
112180526.0,640730.0,,500 Broadway Ave,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"500 BROADWAY AVE, REDWOOD CITY, CA 94063, UNITED STATES",Match,"500 BROADWAY ST, REDWOOD CITY, CA, 94063",37.485495267732,-122.204086735791,6.0,81.0,610201.0,1000.0,60816102011000.0,,,,
11029809.0,640741.0,,55 Sheridan St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market,"55 SHERIDAN ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"55 SHERIDAN ST, SAN FRANCISCO, CA, 94103",37.772464766882,-122.411300533158,6.0,75.0,17803.0,2002.0,60750178032002.0,,,,
203635271.0,642103.0,Chelsea Court,851 Van Ness Ave,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown,"851 VAN NESS AVE, SAN FRANCISCO, CA 94109, UNITED STATES",Match,"851 VAN NESS AVE, SAN FRANCISCO, CA, 94109",37.783516278837,-122.421082767013,6.0,75.0,16000.0,2002.0,60750160002002.0,,,,
187645501.0,642123.0,Building A - Phase III,1800 Sierra Point Pky,Brisbane,CA,94005.0,San Mateo,San Francisco,Brisbane/Daly City,"1800 SIERRA POINT PKY, BRISBANE, CA 94005, UNITED STATES",No_Match,,,,,,,,,,,,
70312710.0,643518.0,,3130 Alpine Rd,Portola Valley,CA,94028.0,San Mateo,San Francisco,Peninsula Coastline,"3130 ALPINE RD, PORTOLA VALLEY, CA 94028, UNITED STATES",Match,"3130 ALPINE RD, PORTOLA VALLEY, CA, 94028",37.401246489199,-122.192640092873,6.0,81.0,613200.0,1015.0,60816132001015.0,,,,
125596191.0,644558.0,,2401 Broadway St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"2401 BROADWAY ST, REDWOOD CITY, CA 94063, UNITED STATES",Match,"2401 BROADWAY ST, REDWOOD CITY, CA, 94063",37.486329194569,-122.231128745364,6.0,81.0,610202.0,1009.0,60816102021009.0,,,,
190528281.0,644895.0,,796 El Camino Real,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos,"796 EL CAMINO REAL, SAN CARLOS, CA 94070, UNITED STATES",No_Match,,,,,,,,,,,,
70103769.0,645413.0,,218 Demeter St,East Palo Alto,CA,94303.0,San Mateo,San Francisco,Menlo Park,"218 DEMETER ST, EAST PALO ALTO, CA 94303, UNITED STATES",Match,"218 DEMETER ST, EAST PALO ALTO, CA, 94303",37.475055588293,-122.134125024065,6.0,81.0,611800.0,1008.0,60816118001008.0,,,,
70121487.0,645810.0,,2965 Woodside Rd,Woodside,CA,94062.0,San Mateo,San Francisco,Redwood City,"2965 WOODSIDE RD, WOODSIDE, CA 94062, UNITED STATES",Match,"2965 WOODSIDE RD, WOODSIDE, CA, 94062",37.429083636581,-122.25175025121,6.0,81.0,613400.0,1014.0,60816134001014.0,,,,
